,,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,aktuální kapacita,,základní cena,zlevněná cena,týdenní navýšení,celková kapacita
,#3074,HUDEBNÍ TÁBOR,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2052,5,,2400,1700,22,4
,#2505,VÝTVARNÝ TÁBOR,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,19,,4100,2900,37,16
,#2503,VÝTVARNÝ TÁBOR,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,17,,4100,2900,37,16
,#2504,VÝTVARNÝ TÁBOR,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,6,,2100,1500,19,4
,#359,VÝTVARNÝ TÁBOR,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,4,,2100,1500,19,4
,#2141,TÁBOR SE PSY,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,16,,4100,2900,37,16
,#2508,TÁBOR SE PSY,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,1,,4100,2900,37,24
,#2140,TÁBOR SE PSY,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,3,,2100,1500,19,4
,#2507,TÁBOR SE PSY,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,3,,2100,1500,19,4
,#2513,TÁBOR S MAZLÍČKY,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,3492,15,,4100,2900,37,16
,#2511,TÁBOR S MAZLÍČKY,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,9,,4100,2900,37,24
,#2512,TÁBOR S MAZLÍČKY,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,1804,5,,2100,1500,19,4
,#479,TÁBOR S MAZLÍČKY,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#3643,JEZDECKÝ TÁBOR,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4110,13,,5100,3700,41,8
,#2435,JEZDECKÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3823,13,,5100,3700,41,8
,#3642,JEZDECKÝ TÁBOR,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2025,5,,2700,2025,25,4
,#2434,JEZDECKÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2025,4,,2700,1900,25,4
,#2522,TÁBOR NA FARMĚ,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2052,5,,2400,1700,22,4
,#2523,TÁBOR NA FARMĚ,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3924,11,,4600,3300,39,16
,#2544,LYŽAŘSKÝ TÁBOR,Pec pod Sněžkou,Pobytový tábor,Velikonoce (29. 3. 2018 - 2. 4. 2018),x,3260,29,,4100,2900,60,0
,#2555,JARNÍ TÁBOR,Lanškroun,Pobytový tábor,květen (5. 5. 2018 - 8. 5. 2018),x,0,0,,,,,
,#2558,TÁBOR PRO NEJMENŠÍ,Lanškroun,Pobytový tábor,1. týden (30. 6. 2018 - 4. 7. 2018),aktivní,1900,19,,2490,1580,20,8
,#2559,TÁBOR PRO NEJMENŠÍ,Lanškroun,Příměstský tábor,1. týden (1. 7. 2018 - 3. 7. 2018),aktivní,1042,5,,1250,850,12,4
,#2562,TÁBOR PRO TEENAGERY,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),x,,20,,4050,,,20
,#2564,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Příměstský tábor,2. týden (8. 7. 2018 - 13. 7. 2018),x,0,0,,,,,
,#2565,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Pobytový tábor,2. týden (7. 7. 2018 - 14. 7. 2018),x,0,0,,,,,
,#569,VŠEOBECNÝ TÁBOR,Sejfy u Trutnova,Příměstský tábor,3. týden (15. 7. 2018 - 20. 7. 2018),x,0,0,,,,,
