INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#14466,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,99,,448,448,448,0,100
#14467,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14468,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14469,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14470,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14471,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,98,,195,195,195,0,100
#14472,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14473,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14474,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14475,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14476,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14477,SPOLEČNÁ DOPRAVA,Pardubice,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14478,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14479,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14480,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14481,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14482,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14483,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14484,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14485,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14486,SPOLEČNÁ DOPRAVA,Pardubice,Z tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,195,195,195,0,100
#14487,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,390,390,390,0,100
#14488,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,99,,390,390,390,0,100
#14489,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,99,,390,390,390,0,100
#14490,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,99,,390,390,390,0,100
#14491,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,390,390,390,0,100
#14492,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,99,,390,390,390,0,100
#14493,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,390,390,390,0,100
#14494,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,390,390,390,0,100
#14495,SPOLEČNÁ DOPRAVA,Pardubice,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,390,390,390,0,100
#14496,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14497,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14498,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14499,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
#14500,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,280,280,280,0,100
